long,lat,SiteID_Placeholder,TypeOfSite
-96.58134298219962,39.08025976136612,1,Random
-96.58164966093366,39.079664540723535,2,Random
-96.58236082239212,39.07875284501683,3,Random
-96.58289585585146,39.07737441333246,4,STIC
-96.58376913842032,39.07483347388344,5,Random
-96.58251479118101,39.08276279495017,6,Random
-96.58215269548663,39.08128038361883,7,Spring/Seep
-96.58321821846717,39.084985233200086,8,Random
-96.58347585406395,39.08408939747764,9,Spring/Seep
-96.58442268652279,39.08736694055879,10,Weir
-96.58360783736107,39.08678974325231,11,STIC
-96.58339229570295,39.085779552186096,12,Random
-96.58619457409728,39.08979008251527,13,Random
-96.58687226193656,39.091823685777804,14,Random
-96.58722016654399,39.09226151761231,15,STIC
-96.57167166761904,39.080543554262356,16,Random
-96.57428807641293,39.081348271761925,17,Random
-96.57690238778545,39.08768197107249,18,Random
-96.57700496268694,39.086711835013375,19,Weir
-96.57620617218572,39.08620905407741,20,STIC
-96.57603916722097,39.08532580524325,21,Random
-96.57509915160126,39.08357179538276,22,STIC
-96.57967266155016,39.08953455128897,23,Random
-96.57857297095647,39.08869083740341,24,Random
-96.584444852887,39.09095787997339,25,Random
-96.58196076223874,39.0901588093375,26,STIC
-96.58605522665067,39.0909543094545,27,Random
-96.58452941262112,39.08185420010831,28,Random
-96.59346578998719,39.08470833974261,29,Random
-96.59359003670258,39.082536280287755,30,Random
-96.59373922054708,39.07938501041375,31,Spring/Seep
-96.58859040037854,39.089805992278,32,Weir
-96.58935311081343,39.088391785115505,33,Random
-96.59082413327715,39.086980674446856,34,Spring/Seep
-96.59148188514885,39.087195151360035,35,STIC
-96.59251033963342,39.086480011583035,36,Random
-96.5929652595678,39.08560140634932,37,STIC
-96.58819291072511,39.09173215744249,38,Random
-96.58832555624659,39.09084425289117,39,STIC
-96.58537782530483,39.088160432832524,40,STIC
-96.58689928772097,39.08607502402654,41,Random
-96.5880386703475,39.083859537926806,42,Spring/Seep
-96.58862385124118,39.082281370871286,43,Spring/Seep
-96.58201031595507,39.085180437425635,44,Spring/Seep
-96.57200044630721,39.088874059047,45,Random
-96.57116095249059,39.08722344250505,46,Random
-96.57657365970375,39.088575301977755,47,Weir
-96.57345016993344,39.08923967454061,48,Random
-96.57975882753935,39.09003058469948,49,Random
-96.58521107649426,39.09179413210007,50,Random
