long,lat,AIMS_LocationID,TypeOfSite,NumberOfSTICs
-96.577034,39.08704000000001,01M01,Weir,1
-96.57620617218572,39.08620905407741,01M02,STIC,2
-96.575862,39.08501499999999,01M03,Random,2
-96.57509915160126,39.08357179538275,01M04,STIC,2
-96.574055,39.08248999999999,01M05,Spring/Seep,1
-96.57167166761904,39.08054355426234,01M06,Random,1
-96.58819291072511,39.09173215744249,02M01,Random,2
-96.58832555624659,39.09084425289118,02M02,STIC,2
-96.588498,39.089913,02M03,Weir,1
-96.58960300000001,39.08813599999999,02M04,Random,2
-96.59082413327717,39.08698067444685,02M05,Spring/Seep,1
-96.59148188514885,39.087195151360035,02M06,STIC,2
-96.59251033963342,39.086480011583035,02M07,Random,1
-96.5929652595678,39.085601406349326,02M08,STIC,2
-96.593399,39.08482099999999,02M09,Random,1
-96.59359003670258,39.082536280287755,02M10,Random,2
-96.59373922054708,39.07938501041375,02M11,Spring/Seep,2
-96.58619457409728,39.08979008251527,04M01,Random,2
-96.584568,39.08741,04M02,Weir,2
-96.58360783736107,39.08678974325231,04M03,STIC,2
-96.58339229570295,39.085779552186096,04M04,Random,2
-96.58321821846717,39.084985233200094,04M05,Random,1
-96.58347585406395,39.08408939747764,04M06,Spring/Seep,1
-96.58251479118101,39.08276279495017,04M07,Random,1
-96.58215269548663,39.08128038361883,04M08,Spring/Seep,2
-96.58164966093366,39.079664540723535,04M09,Random,2
-96.58236082239212,39.07875284501683,04M10,Random,2
-96.58289585585146,39.07737441333246,04M11,STIC,2
-96.58376913842032,39.07483347388344,04M12,Random,1
-96.584111,39.073111,04M13,Random,2
-96.58422500000002,39.071692999999996,04M14,Random,1
-96.58537782530483,39.088160432832524,04T01,STIC,2
-96.584037,39.082499999999996,04T02,Random,2
-96.58689928772097,39.08607502402654,04T03,Random,2
-96.5880386703475,39.0838595379268,04T04,Spring/Seep,1
-96.581054,39.079947,04T05,Random,2
-96.58862385124118,39.082281370871286,04T06,Spring/Seep,2
-96.576964,39.088418000000004,20M01,Weir,1
-96.57376,39.08918599999999,20M02,Random,1
-96.571071,39.087064999999996,20M03,Random,1
-96.568083,39.085978,20M04,Random,2
-96.58722016654399,39.09226151761231,SFM01,STIC,2
-96.586322,39.091266,SFM02,Random,2
-96.58605522665067,39.090954309454496,SFM03,Random,2
-96.584444852887,39.09095787997339,SFM04,Random,1
-96.58196076223874,39.0901588093375,SFM05,STIC,2
-96.57967266155016,39.08953455128896,SFM06,Random,1
-96.57857297095647,39.0886908374034,SFM07,Random,1
-96.578487,39.09103199999999,SFT01,Random,1
-96.58521107649426,39.09179413210007,SFT02,Random,2
