long,lat,AIMS_LocationID,Description
-96.48930121019018,37.563655060858835,ENM01,Supersensor
-96.48994325745184,37.56422925990308,ENM02,STIC
-96.4913072111136,37.56439887448547,ENM03,STIC
-96.49243172755871,37.564243674553964,ENM04,STIC
-96.49412161396117,37.56480208949035,ENM05,STIC
-96.49542835427457,37.56485240216178,EN201,STIC
-96.49561908897495,37.564787455985254,EN202,Piezo
-96.49462598143968,37.56530017566235,ENM06,Piezo
-96.49893483027186,37.5631782177346,EN203,STIC
-96.49710708945187,37.565291288265456,ENM07,STIC
-96.49734986120353,37.56543007514461,ENM08,Piezo
-96.49342386812188,37.56326337819316,EN301,Piezo
-96.49382445095233,37.56304345363598,EN302,STIC
-96.50048356181411,37.563198610057576,EN204,STIC
-96.49508004337262,37.562192436026955,EN303,STIC
-96.50194545410703,37.564083033235406,EN205,STIC
-96.49329271865943,37.56487666878464,EN401,STIC
-96.49893777595761,37.56576112068859,ENM09,STIC
-96.49737562122482,37.56144760784179,EN304,STIC
-96.50036319529885,37.56601661174334,ENM10,Piezo
-96.49565858329603,37.56617670162018,EN101,STIC
-96.50119247869073,37.56087944240631,EN206,STIC
-96.4908580919379,37.56605296533909,EN501,STIC
-96.50242838150851,37.565546881724266,ENM11,STIC
-96.50266161839711,37.56551559128385,ENM12,Piezo
-96.50047278374926,37.55940377827999,EN305,STIC
